Name,lambda,Z,EW,logepsX_EW,logepsX_SYN
BooI-2,6677.985,26,90,4.88,4.75
BooI-2,4923.922,26.1,130,5.03,5.25
BooI-2,5018.435,26.1,145,5.40,5.22
BooI-2,5197.568,26.1,60,4.90,4.82
BooI-2,5275.997,26.1,60,4.69,4.70
BooI-2,5534.839,26.1,w,,
BooI-2,6456.381,26.1,35,5.30,5.15
BooI-2,6516.077,26.1,25,4.98,5.00
BooI-2,5889.951,11,195},3.11},2.79}
BooI-2,5895.924,11,175},3.14},2.99}
BooI-2,5172.684,12,n,,
BooI-2,5183.604,12,n,,
BooI-2,5528.405,12,115,5.80,5.60
BooI-2,7698.974,19,105,5.80,5.60
BooI-2,5265.556,20,n,,
BooI-2,5588.749,20,70,3.99,3.99
BooI-2,5594.462,20,70,4.25,4.39
BooI-2,5857.451,20,65,4.39,4.24
BooI-2,6102.723,20,75,4.22,4.09
BooI-2,6122.217,20,110,4.20,4.14
BooI-2,6162.173,20,120,3.84,3.59
BooI-2,6169.563,20,35,3.86,3.99
BooI-2,6439.075,20,90,3.87,3.74
BooI-2,6449.808,20,40,4.19,4.09
BooI-2,6462.567,20,105,4.22,4.04
BooI-2,6493.781,20,60,3.79,3.82
BooI-2,6717.681,20,20,4.08,4.14
BooI-2,5526.790,21,,,
BooI-2,4981.731,22,140,2.86,2.77
BooI-2,4991.066,22,140,2.96,3.15
BooI-2,4999.503,22,95,2.42,2.43
BooI-2,5007.209,22,140,3.21,3.17
BooI-2,5064.653,22,n,,
BooI-2,5192.969,22,n,,
